Team,Goals,Matches,Home_Wins,Away_Wins,Wins_2022,Wins_2023
Lyon,122,72,18,16, 14, 20
Ajaccio,44,72,6,6, 8, 4
Lens,124,72,32,14, 22, 24
Rennes,130,72,28,10, 18, 20
Lille,124,72,24,12, 18, 18
Montpellier,120,72,14,14, 10, 18
Lorient,100,72,16,12, 16, 12
Nice,84,72,12,14, 10, 16
Brest,82,72,14,6, 6, 14
Clermont,80,72,16,14, 10, 20
Marseille,132,72,20,24, 20, 24
Troyes,86,72,2,6, 6, 2
Paris SG,172,72,26,28, 28, 26
Auxerre,66,72,10,6, 6, 10
Strasbourg,98,72,10,8, 2, 16
Nantes,70,72,8,4, 4, 8
Angers,62,72,4,2, 4, 2
Toulouse,96,72,12,12, 8, 16
Reims,88,72,16,8, 8, 16
Monaco,138,72,18,20, 18, 20
